      table_name       |      column_name       |          data_type          | character_maximum_length | is_nullable |               column_default                |                       table_description                        
-----------------------+------------------------+-----------------------------+--------------------------+-------------+---------------------------------------------+----------------------------------------------------------------
 diaries               | id                     | uuid                        |                          | NO          | uuid_generate_v4()                          | 
 diaries               | title                  | character varying           |                      255 | NO          |                                             | 
 diaries               | game_level             | integer                     |                          | NO          |                                             | 
 diaries               | created_at             | timestamp with time zone    |                          | YES         | now()                                       | 
 diaries               | updated_at             | timestamp with time zone    |                          | YES         | now()                                       | 
 diaries               | location               | character varying           |                       50 | NO          | 'other'::character varying                  | 
 diaries               | feeling                | character varying           |                      100 | YES         |                                             | 
 diaries               | color                  | character varying           |                       30 | YES         |                                             | 
 diaries               | content                | text                        |                          | NO          |                                             | 
 diaries               | has_media              | boolean                     |                          | YES         | false                                       | 
 diaries               | media_paths            | ARRAY                       |                          | YES         |                                             | 
 diaries               | is_stored_locally      | boolean                     |                          | YES         | false                                       | 
 diaries               | encryption_key         | character varying           |                      128 | YES         |                                             | 
 diaries               | user_id                | integer                     |                          | NO          |                                             | 
 migrations            | id                     | integer                     |                          | NO          | nextval('migrations_id_seq'::regclass)      | 
 migrations            | timestamp              | bigint                      |                          | NO          |                                             | 
 migrations            | name                   | character varying           |                      255 | NO          |                                             | 
 minting_queue_items   | id                     | uuid                        |                          | NO          | uuid_generate_v4()                          | Stores token minting queue items for processing by the backend
 minting_queue_items   | user_id                | integer                     |                          | NO          |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | wallet_address         | character varying           |                       42 | NO          |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | device_id              | character varying           |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | type                   | character varying           |                          | NO          | 'first_time'::character varying             | Stores token minting queue items for processing by the backend
 minting_queue_items   | amount                 | numeric                     |                          | NO          | 0                                           | Stores token minting queue items for processing by the backend
 minting_queue_items   | status                 | character varying           |                          | NO          | 'pending'::character varying                | Stores token minting queue items for processing by the backend
 minting_queue_items   | transaction_hash       | character varying           |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | error_message          | text                        |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | retry_count            | integer                     |                          | NO          | 0                                           | Stores token minting queue items for processing by the backend
 minting_queue_items   | max_retries            | integer                     |                          | NO          | 3                                           | Stores token minting queue items for processing by the backend
 minting_queue_items   | ip_address             | character varying           |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | metadata               | jsonb                       |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | merkle_proof           | text                        |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | signature              | text                        |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | process_after          | timestamp without time zone |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | created_at             | timestamp without time zone |                          | NO          | now()                                       | Stores token minting queue items for processing by the backend
 minting_queue_items   | updated_at             | timestamp without time zone |                          | NO          | now()                                       | Stores token minting queue items for processing by the backend
 minting_queue_items   | processed_at           | timestamp without time zone |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | processing_started_at  | timestamp without time zone |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | completed_at           | timestamp without time zone |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | merkle_root            | character varying           |                          | YES         |                                             | Stores token minting queue items for processing by the backend
 minting_queue_items   | priority               | integer                     |                          | NO          | 0                                           | Stores token minting queue items for processing by the backend
 nft_collections       | id                     | integer                     |                          | NO          | nextval('nft_collections_id_seq'::regclass) | 
 nft_collections       | name                   | character varying           |                      255 | YES         |                                             | 
 nft_collections       | symbol                 | character varying           |                       50 | YES         |                                             | 
 nft_collections       | contract_address       | character varying           |                      255 | YES         |                                             | 
 nft_collections       | chain_id               | integer                     |                          | YES         |                                             | 
 nft_collections       | description            | text                        |                          | YES         |                                             | 
 nft_collections       | created_at             | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP                           | 
 nft_collections       | updated_at             | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP                           | 
 nfts                  | id                     | integer                     |                          | NO          | nextval('nfts_id_seq'::regclass)            | 
 nfts                  | collection_id          | integer                     |                          | YES         |                                             | 
 nfts                  | token_id               | character varying           |                      100 | YES         |                                             | 
 nfts                  | owner_id               | integer                     |                          | YES         |                                             | 
 nfts                  | metadata               | jsonb                       |                          | YES         |                                             | 
 nfts                  | transaction_hash       | character varying           |                      255 | YES         |                                             | 
 nfts                  | created_at             | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP                           | 
 nfts                  | updated_at             | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP                           | 
 profiles              | id                     | uuid                        |                          | NO          | uuid_generate_v4()                          | 
 profiles              | user_id                | uuid                        |                          | NO          |                                             | 
 profiles              | email                  | character varying           |                          | YES         |                                             | 
 profiles              | password               | character varying           |                          | YES         |                                             | 
 profiles              | first_name             | character varying           |                          | YES         |                                             | 
 profiles              | last_name              | character varying           |                          | YES         |                                             | 
 profiles              | display_name           | character varying           |                          | YES         |                                             | 
 profiles              | avatar_url             | character varying           |                          | YES         |                                             | 
 profiles              | bio                    | text                        |                          | YES         |                                             | 
 profiles              | unique_id              | character varying           |                          | YES         |                                             | 
 profiles              | visibility_level       | character varying           |                          | YES         | 'public'::character varying                 | 
 profiles              | created_at             | timestamp with time zone    |                          | YES         | now()                                       | 
 profiles              | updated_at             | timestamp with time zone    |                          | YES         | now()                                       | 
 profiles              | country                | character varying           |                          | YES         |                                             | 
 profiles              | city                   | character varying           |                          | YES         |                                             | 
 profiles              | state                  | character varying           |                          | YES         |                                             | 
 profiles              | postal_code            | character varying           |                          | YES         |                                             | 
 profiles              | address                | character varying           |                          | YES         |                                             | 
 profiles              | latitude               | numeric                     |                          | YES         |                                             | 
 profiles              | longitude              | numeric                     |                          | YES         |                                             | 
 profiles              | language               | character varying           |                          | YES         | 'en'::character varying                     | 
 profiles              | timezone               | character varying           |                          | YES         |                                             | 
 profiles              | date_format            | character varying           |                          | YES         | 'yyyy-MM-dd'::character varying             | 
 profiles              | time_format            | character varying           |                          | YES         | '24h'::character varying                    | 
 profiles              | phone_number           | character varying           |                          | YES         |                                             | 
 profiles              | website                | character varying           |                          | YES         |                                             | 
 profiles              | twitter_handle         | character varying           |                          | YES         |                                             | 
 profiles              | instagram_handle       | character varying           |                          | YES         |                                             | 
 profiles              | linkedin_profile       | character varying           |                          | YES         |                                             | 
 profiles              | telegram_handle        | character varying           |                          | YES         |                                             | 
 profiles              | location_visibility    | character varying           |                          | YES         | 'PRIVATE'::character varying                | 
 profiles              | profile_visibility     | character varying           |                          | YES         | 'PUBLIC'::character varying                 | 
 profiles              | email_notifications    | boolean                     |                          | YES         | true                                        | 
 profiles              | push_notifications     | boolean                     |                          | YES         | true                                        | 
 profiles              | last_location_update   | timestamp without time zone |                          | YES         |                                             | 
 profiles              | complete_later         | boolean                     |                          | YES         | false                                       | 
 referral_codes        | id                     | integer                     |                          | NO          | nextval('referral_codes_id_seq'::regclass)  | 
 referral_codes        | user_id                | integer                     |                          | YES         |                                             | 
 referral_codes        | code                   | character varying           |                       50 | YES         |                                             | 
 referral_codes        | is_active              | boolean                     |                          | YES         | true                                        | 
 referral_codes        | usage_limit            | integer                     |                          | YES         | 10                                          | 
 referral_codes        | used_count             | integer                     |                          | YES         | 0                                           | 
 referral_codes        | expires_at             | timestamp without time zone |                          | YES         |                                             | 
 referral_codes        | created_at             | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP                           | 
 referrals             | id                     | integer                     |                          | NO          | nextval('referrals_id_seq'::regclass)       | 
 referrals             | referrer_id            | integer                     |                          | YES         |                                             | 
 referrals             | referred_id            | integer                     |                          | YES         |                                             | 
 referrals             | referral_code_id       | integer                     |                          | YES         |                                             | 
 referrals             | reward_claimed         | boolean                     |                          | YES         | false                                       | 
 referrals             | created_at             | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP                           | 
 refresh_tokens        | id                     | uuid                        |                          | NO          | uuid_generate_v4()                          | 
 refresh_tokens        | token                  | character varying           |                          | NO          |                                             | 
 refresh_tokens        | expiresAt              | timestamp with time zone    |                          | NO          |                                             | 
 refresh_tokens        | userId                 | uuid                        |                          | NO          |                                             | 
 refresh_tokens        | createdAt              | timestamp with time zone    |                          | YES         | now()                                       | 
 refresh_tokens        | expires_at             | timestamp with time zone    |                          | NO          |                                             | 
 refresh_tokens        | user_id                | uuid                        |                          | NO          |                                             | 
 refresh_tokens        | created_at             | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP                           | 
 refresh_tokens_backup | id                     | uuid                        |                          | YES         |                                             | 
 refresh_tokens_backup | token                  | character varying           |                          | YES         |                                             | 
